"LokalID"	"predator"	"Lokal"	"Individ"	"n_shoots"	"h_shoot"	"n_fl"	"phen_index"	"most_adv"	"n_eggs"	"n_pred_all"	"n_aborted_all"	"perc_undeveloped"	"n_intact_fruits"	"n_seeds"	"attack"	"date"	"date_julian"	"year"	"apply_to_phen_1ago"	"phen_corr"
"48"	"Ale001"	1	"Bockemossen"	48	3	17,4	2	2,5	3	0	1	0	NA	0	NA	0	"30/07/2010"	211	2010	0,285714286	3,285714286
"49"	"Ale001"	1	"Bockemossen"	49	1	16,3	1	2	2	0	1	0	NA	0	NA	0	"30/07/2010"	211	2010	0,285714286	2,285714286
"50"	"Ale001"	1	"Bockemossen"	50	1	17	2	1,5	2	0	1	0	NA	1	300	0	"30/07/2010"	211	2010	0,285714286	2,285714286
"51"	"Ale001"	1	"Bockemossen"	51	2	20	4	3	4	5	3	0	NA	1	320	1	"30/07/2010"	211	2010	0,285714286	4,285714286
"52"	"Ale001"	1	"Bockemossen"	52	2	14	1	3	3	0	1	0	NA	0	NA	0	"30/07/2010"	211	2010	0,285714286	3,285714286
"53"	"Ale001"	1	"Bockemossen"	53	2	23,6	4	2,75	4	0	3	0	NA	0	NA	0	"30/07/2010"	211	2010	0,285714286	4,285714286
"54"	"Ale001"	1	"Bockemossen"	54	4	29,5	4	3,25	4	0	3	0	NA	1	830	0	"30/07/2010"	211	2010	0,285714286	4,285714286
"55"	"Ale001"	1	"Bockemossen"	55	1	16,2	1	3	3	0	1	0	NA	0	NA	0	"30/07/2010"	211	2010	0,285714286	3,285714286
"56"	"Ale001"	1	"Bockemossen"	56	6	28,2	5	3,2	4	1	3	0	NA	2	1040	1	"30/07/2010"	211	2010	0,285714286	4,285714286
"57"	"Ale001"	1	"Bockemossen"	57	2	26,2	8	1,625	3	1	3	0	NA	3	1230	1	"30/07/2010"	211	2010	0,285714286	3,285714286
"58"	"Ale001"	1	"Bockemossen"	58	2	22,4	4	2,75	4	0	2	0	NA	2	520	0	"30/07/2010"	211	2010	0,285714286	4,285714286
"59"	"Ale001"	1	"Bockemossen"	59	3	21,5	3	1,333333333	2	0	0	0	NA	2	560	0	"30/07/2010"	211	2010	0,285714286	2,285714286
"60"	"Ale001"	1	"Bockemossen"	60	3	24,2	2	2,5	3	0	1	0	NA	1	340	0	"30/07/2010"	211	2010	0,285714286	3,285714286
"61"	"Ale001"	1	"Bockemossen"	61	2	28,2	5	3,2	4	4	5	0	NA	0	NA	1	"30/07/2010"	211	2010	0,285714286	4,285714286
"62"	"Ale001"	1	"Bockemossen"	62	4	20,3	2	4	5	2	0	0	NA	3	1425	1	"30/07/2010"	211	2010	0,285714286	5,285714286
"63"	"Ale001"	1	"Bockemossen"	63	2	33,4	4	2,25	4	0	2	0	NA	2	680	0	"30/07/2010"	211	2010	0,285714286	4,285714286
"64"	"Ale001"	1	"Bockemossen"	64	3	14,7	3	3,666666667	5	0	3	0	20	0	1320	0	"30/07/2010"	211	2010	0,285714286	5,285714286
"65"	"Ale001"	1	"Bockemossen"	65	3	19,7	3	3,333333333	4	0	1	0	NA	0	NA	0	"30/07/2010"	211	2010	0,285714286	4,285714286
"66"	"Ale001"	1	"Bockemossen"	66	2	22,8	4	3,25	4	5	4	0	NA	0	NA	1	"30/07/2010"	211	2010	0,285714286	4,285714286
"67"	"Ale001"	1	"Bockemossen"	67	4	19,2	3	2,666666667	4	4	3	0	NA	0	NA	1	"30/07/2010"	211	2010	0,285714286	4,285714286
"68"	"Ale001"	1	"Bockemossen"	68	1	20	1	3	3	1	1	0	100	0	0	1	"30/07/2010"	211	2010	0,285714286	3,285714286
"69"	"Ale001"	1	"Bockemossen"	69	1	22,5	2	2	3	0	2	0	NA	0	NA	0	"30/07/2010"	211	2010	0,285714286	3,285714286
"70"	"Ale001"	1	"Bockemossen"	70	1	17,3	3	1,666666667	3	0	3	0	NA	0	NA	0	"30/07/2010"	211	2010	0,285714286	3,285714286
"71"	"Ale001"	1	"Bockemossen"	71	2	19,1	4	3	4	0	5	0	NA	0	NA	0	"30/07/2010"	211	2010	0,285714286	4,285714286
