"LokalID"	"Predator"	"Lokal"	"Individ"	"n_shoots"	"h_shoot"	"n_fl"	"phen_index"	"most_adv"	"n_eggs"	"n_pred_all"	"n_aborted_all"	"perc_undeveloped"	"n_intact_fruits"	"n_seeds"	"attack"	"date"	"date_julian"	"year"	"apply_to_phen_1ago"	"phen_corr"
"51"	"Ale001"	1	"Bockemossen"	51	2	14	2	2,5	3	0	1	0	NA	1	NA	0	"23/07/2011"	204	2011	1,285714286	4,285714286
"52"	"Ale001"	1	"Bockemossen"	52	4	17	2	2,5	3	2	1	0	100	1	0	1	"23/07/2011"	204	2011	1,285714286	4,285714286
"53"	"Ale001"	1	"Bockemossen"	53	1	15	2	2,5	3	0	1	0	100	1	0	0	"23/07/2011"	204	2011	1,285714286	4,285714286
"54"	"Ale001"	1	"Bockemossen"	54	6	15,1	3	1,333333333	2	1	0	1	NA	2	NA	1	"23/07/2011"	204	2011	1,285714286	3,285714286
"55"	"Ale001"	1	"Bockemossen"	55	9	24,2	3	1,333333333	2	0	1	0	0	2	280	0	"23/07/2011"	204	2011	1,285714286	3,285714286
"56"	"Ale001"	1	"Bockemossen"	56	2	21,2	2	1,5	2	0	0	0	NA	2	NA	0	"23/07/2011"	204	2011	1,285714286	3,285714286
"57"	"Ale001"	1	"Bockemossen"	57	3	20,3	2	2,5	3	0	2	0	NA	0	NA	0	"23/07/2011"	204	2011	1,285714286	4,285714286
"58"	"Ale001"	1	"Bockemossen"	58	3	9,4	1	2	2	0	0	0	NA	1	NA	0	"23/07/2011"	204	2011	1,285714286	3,285714286
"59"	"Ale001"	1	"Bockemossen"	59	1	17	1	2	2	0	0	0	NA	1	NA	0	"23/07/2011"	204	2011	1,285714286	3,285714286
"60"	"Ale001"	1	"Bockemossen"	60	2	21	3	2,666666667	4	2	3	0	NA	0	NA	1	"23/07/2011"	204	2011	1,285714286	5,285714286
"61"	"Ale001"	1	"Bockemossen"	61	3	14,5	5	3	5	1	2	0	NA	3	NA	1	"23/07/2011"	204	2011	1,285714286	6,285714286
"62"	"Ale001"	1	"Bockemossen"	62	2	19,5	2	1,5	2	0	0	0	NA	2	NA	0	"23/07/2011"	204	2011	1,285714286	3,285714286
"63"	"Ale001"	1	"Bockemossen"	63	3	27,1	5	2,4	4	0	3	0	NA	2	NA	0	"23/07/2011"	204	2011	1,285714286	5,285714286
"64"	"Ale001"	1	"Bockemossen"	64	3	27,1	8	4	5	16	5	2	NA	1	NA	1	"23/07/2011"	204	2011	1,285714286	6,285714286
"65"	"Ale001"	1	"Bockemossen"	65	2	16,3	2	2	2	0	1	0	NA	1	NA	0	"23/07/2011"	204	2011	1,285714286	3,285714286
"66"	"Ale001"	1	"Bockemossen"	66	5	15,3	1	3	3	0	0	0	NA	1	NA	0	"23/07/2011"	204	2011	1,285714286	4,285714286
"67"	"Ale001"	1	"Bockemossen"	67	2	16,8	3	3,666666667	5	0	2	0	0	1	480	0	"23/07/2011"	204	2011	1,285714286	6,285714286
"68"	"Ale001"	1	"Bockemossen"	68	17	15,7	3	2,333333333	3	0	0	0	NA	0	NA	0	"23/07/2011"	204	2011	1,285714286	4,285714286
"69"	"Ale001"	1	"Bockemossen"	69	1	21,2	2	2	3	0	0	1	NA	1	NA	0	"23/07/2011"	204	2011	1,285714286	4,285714286
"70"	"Ale001"	1	"Bockemossen"	70	2	22,2	3	2,333333333	3	0	2	0	NA	1	NA	0	"23/07/2011"	204	2011	1,285714286	4,285714286
"71"	"Ale001"	1	"Bockemossen"	71	2	17,7	3	1,666666667	3	0	3	0	NA	0	NA	0	"23/07/2011"	204	2011	1,285714286	4,285714286
"72"	"Ale001"	1	"Bockemossen"	72	3	16,2	1	4	4	3	1	0	NA	0	NA	1	"23/07/2011"	204	2011	1,285714286	5,285714286
"73"	"Ale001"	1	"Bockemossen"	73	4	26,3	7	4,285714286	5	2	2	0	NA	5	NA	1	"23/07/2011"	204	2011	1,285714286	6,285714286
"74"	"Ale001"	1	"Bockemossen"	74	4	24,1	4	3,25	5	0	4	0	NA	0	NA	0	"23/07/2011"	204	2011	1,285714286	6,285714286
"75"	"Ale001"	1	"Bockemossen"	75	2	20,5	4	3,5	5	0	1	0	NA	3	NA	0	"23/07/2011"	204	2011	1,285714286	6,285714286
"76"	"Ale001"	1	"Bockemossen"	76	1	17,4	1	2	2	0	0	0	NA	1	NA	0	"23/07/2011"	204	2011	1,285714286	3,285714286
"77"	"Ale001"	1	"Bockemossen"	77	4	21	4	3,5	5	0	2	0	NA	2	NA	0	"23/07/2011"	204	2011	1,285714286	6,285714286
"78"	"Ale001"	1	"Bockemossen"	78	4	25	7	3,714285714	5	3	4	0	NA	3	NA	1	"23/07/2011"	204	2011	1,285714286	6,285714286
"79"	"Ale001"	1	"Bockemossen"	79	4	18,3	4	2,5	4	3	2	0	NA	2	NA	1	"23/07/2011"	204	2011	1,285714286	5,285714286
