predator	LokalID	Individ	n_shoots	h_shoot	n_fl	phen_index	most_adv	n_eggs	n_pred_all	n_aborted_all	n_intact_fruits	attack	year	prop_pred	prop_pred_c	prop_int_fr	prop_int_fr_c
0	Ale010	76	3	15,2	2	1,5	2	0	0	0	0	0	2010	0	0	0	0
0	Ale010	77	1	16,6	1	1	1	0	0	0	0	0	2010	0	0	0	0
0	Ale010	78	1	19,3	2	2,5	3	0	2	0	1	0	2010	1	1	0,5	0,5
0	Ale010	79	2	20,2	2	1	1	0	0	0	1	0	2010	0	0	0,5	0,5
0	Ale010	80	3	21	2	1,5	2	0	1	1	0	0	2010	0,5	0,5	0	0
0	Ale010	81	3	30	3	1	1	0	2	0	0	0	2010	0,66666667	0,66666667	0	0
0	Ale010	82	2	25	1	1	1	0	0	1	0	0	2010	0	0	0	0
0	Ale010	83	2	14	1	2	2	0	1	0	0	0	2010	1	1	0	0
0	Ale010	84	1	19,2	2	1,5	2	0	0	0	0	0	2010	0	0	0	0
0	Ale010	85	1	18,5	1	1	1	0	1	0	0	0	2010	1	1	0	0
0	Ale010	86	2	15,6	1	1	1	0	0	0	1	0	2010	0	0	1	1
0	Ale010	87	5	22,7	1	3	3	0	1	0	0	0	2010	1	1	0	0
0	Ale010	88	2	24,3	1	2	2	0	0	1	1	0	2010	0	0	1	1
0	Ale010	89	2	24,7	2	1,5	2	0	1	1	1	0	2010	0,5	0,5	0,5	0,5
0	Ale010	90	2	29,9	3	1,66666667	3	0	1	0	0	0	2010	0,33333333	0,33333333	0	0
0	Ale010	91	1	26	2	1	1	0	0	0	1	0	2010	0	0	0,5	0,5
0	Ale010	92	1	17,2	1	1	1	0	1	0	0	0	2010	1	1	0	0
0	Ale010	93	2	25,7	2	1	1	0	1	0	1	0	2010	0,5	0,5	0,5	0,5
0	Ale010	94	4	21,2	1	2	2	0	1	0	0	0	2010	1	1	0	0
0	Ale010	95	1	15,4	3	2	3	0	0	0	0	0	2010	0	0	0	0
0	Ale010	96	2	26,8	3	1,66666667	3	0	0	0	0	0	2010	0	0	0	0
0	Ale010	97	1	12,7	1	1	1	0	0	0	0	0	2010	0	0	0	0
0	Ale010	98	2	12,9	1	1	1	0	0	0	1	0	2010	0	0	1	1
0	Ale010	99	2	12,9	1	1	1	0	0	0	0	0	2010	0	0	0	0
0	Ale010	100	1	17,4	2	2,5	3	0	1	0	1	0	2010	0,5	0,5	0,5	0,5
0	Bor012	1	3	16,1	2	3,5	5	0	1	0	0	0	2010	0,5	0,5	0	0
0	Bor012	2	4	14,1	1	2	2	0	0	0	1	0	2010	0	0	1	1
0	Bor012	3	4	17,2	3	1	1	0	1	2	0	0	2010	0,33333333	0,33333333	0	0
0	Bor012	4	2	31	2	2,5	3	0	1	0	1	0	2010	0,5	0,5	0,5	0,5
0	Bor012	5	4	12,1	1	1	1	0	1	0	0	0	2010	1	1	0	0
0	Bor012	6	2	14,1	1	1	1	0	1	0	0	0	2010	1	1	0	0
0	Bor012	7	2	28,5	3	3	5	0	1	0	1	0	2010	0,33333333	0,33333333	0,33333333	0,33333333
0	Bor012	8	5	25	1	2	2	0	0	0	1	0	2010	0	0	1	1
0	Bor012	9	3	17,2	1	2	2	0	0	0	1	0	2010	0	0	1	1
0	Bor012	10	2	12,1	1	1	1	0	1	0	0	0	2010	1	1	0	0
0	Bor012	11	8	25,4	1	3	3	0	0	0	1	0	2010	0	0	1	1
0	Bor012	12	4	24,7	1	3	3	0	0	0	1	0	2010	0	0	1	1
0	Bor012	13	2	26,5	1	3	3	0	0	0	1	0	2010	0	0	1	1
0	Bor012	14	6	22,5	1	2	2	0	0	0	1	0	2010	0	0	1	1
0	Bor012	15	2	22,6	1	4	4	0	0	0	1	0	2010	0	0	1	1
0	Bor012	16	8	22,9	1	5	5	0	0	0	1	0	2010	0	0	1	1
