LokalID	Predator	Lokal	Individ	n_shoots	h_shoot	n_fl	phen_index	most_adv	n_eggs	n_pred_all	n_aborted_all	perc_undeveloped	n_intact_fruits	n_seeds	attack	h_shoot_mean	n_fl_mean	most_adv_mean	n_eggs_mean	n_intact_fruits_mean	attack_mean	h_shoot_sd	n_fl_sd	most_adv_sd	n_eggs_sd	n_intact_fruits_sd	attack_sd	h_shoot_sta	n_fl_sta	most_adv_sta	n_eggs_sta	n_intact_fruits_sta	attack_sta	n_intact_fruits_rel
Ale001	1	Bockemossen	35	1	13,7	1	1	1	0	1	0	NA	0	NA	0	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	-1,211108776	-1,376769499	-2,335661041	-0,577027156	-1,102066688	-0,918331821	0
Ale001	1	Bockemossen	36	4	15,9	4	2	3	0	3	0	NA	1	NA	0	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	-0,829493293	0,205724178	-0,64315304	-0,577027156	-0,325963387	-0,918331821	0,704225352
Ale001	1	Bockemossen	37	2	15,7	1	2	2	0	0	0	NA	1	NA	0	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	-0,864185609	-1,376769499	-1,489407041	-0,577027156	-0,325963387	-0,918331821	0,704225352
Ale001	1	Bockemossen	38	3	21,3	3	2,333333333	4	0	1	0	NA	2	NA	0	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	0,107199259	-0,321773714	0,20310096	-0,577027156	0,450139915	-0,918331821	1,408450704
Ale001	1	Bockemossen	39	2	26	4	2,5	4	2	3	0	NA	1	NA	1	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	0,922468701	0,205724178	0,20310096	-0,045204892	-0,325963387	1,078041703	0,704225352
Ale001	1	Bockemossen	40	2	17,2	1	3	3	0	0	0	NA	1	NA	0	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	-0,603993234	-1,376769499	-0,64315304	-0,577027156	-0,325963387	-0,918331821	0,704225352
Ale001	1	Bockemossen	41	4	16,2	3	1,333333333	2	0	1	1	NA	1	NA	0	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	-0,777454817	-0,321773714	-1,489407041	-0,577027156	-0,325963387	-0,918331821	0,704225352
Ale001	1	Bockemossen	42	2	14,7	1	4	4	0	1	0	NA	0	NA	0	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	-1,037647193	-1,376769499	0,20310096	-0,577027156	-1,102066688	-0,918331821	0
Ale001	1	Bockemossen	43	2	18,3	2	2	3	0	2	0	NA	0	NA	0	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	-0,413185492	-0,849271606	-0,64315304	-0,577027156	-1,102066688	-0,918331821	0
Ale001	1	Bockemossen	44	2	10,4	1	2	2	0	1	0	NA	0	NA	0	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	-1,783532002	-1,376769499	-1,489407041	-0,577027156	-1,102066688	-0,918331821	0
Ale001	1	Bockemossen	45	1	11,2	1	1	1	0	0	0	NA	1	NA	0	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	-1,644762735	-1,376769499	-2,335661041	-0,577027156	-0,325963387	-0,918331821	0,704225352
Ale001	1	Bockemossen	46	2	25,2	4	2,5	4	5	1	0	NA	3	NA	1	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	0,783699434	0,205724178	0,20310096	0,752528503	1,226243217	1,078041703	2,112676056
Ale001	1	Bockemossen	47	2	16,1	1	3	3	0	1	0	NA	0	NA	0	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	-0,794800976	-1,376769499	-0,64315304	-0,577027156	-1,102066688	-0,918331821	0
Ale001	1	Bockemossen	48	2	9	1	2	2	0	0	0	NA	1	NA	0	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	-2,026378219	-1,376769499	-1,489407041	-0,577027156	-0,325963387	-0,918331821	0,704225352
Ale001	1	Bockemossen	49	3	21,3	3	1,333333333	2	0	0	0	NA	3	NA	0	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	0,107199259	-0,321773714	-1,489407041	-0,577027156	1,226243217	-0,918331821	2,112676056
Ale001	1	Bockemossen	50	2	19	3	2,666666667	4	0	1	0	NA	2	NA	0	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	-0,291762384	-0,321773714	0,20310096	-0,577027156	0,450139915	-0,918331821	1,408450704
Ale001	1	Bockemossen	51	2	14	2	2,5	3	0	1	0	NA	1	NA	0	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	-1,159070301	-0,849271606	-0,64315304	-0,577027156	-0,325963387	-0,918331821	0,704225352
Ale001	1	Bockemossen	52	4	17	2	2,5	3	2	1	0	100	1	0	1	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	-0,638685551	-0,849271606	-0,64315304	-0,045204892	-0,325963387	1,078041703	0,704225352
Ale001	1	Bockemossen	53	1	15	2	2,5	3	0	1	0	100	1	0	0	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	-0,985608718	-0,849271606	-0,64315304	-0,577027156	-0,325963387	-0,918331821	0,704225352
Ale001	1	Bockemossen	54	6	15,1	3	1,333333333	2	1	0	1	NA	2	NA	1	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	-0,968262559	-0,321773714	-1,489407041	-0,311116024	0,450139915	1,078041703	1,408450704
Ale001	1	Bockemossen	55	9	24,2	3	1,333333333	2	0	1	0	0	2	280	0	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	0,610237851	-0,321773714	-1,489407041	-0,577027156	0,450139915	-0,918331821	1,408450704
Ale001	1	Bockemossen	56	2	21,2	2	1,5	2	0	0	0	NA	2	NA	0	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	0,0898531	-0,849271606	-1,489407041	-0,577027156	0,450139915	-0,918331821	1,408450704
Ale001	1	Bockemossen	57	3	20,3	2	2,5	3	0	2	0	NA	0	NA	0	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	-0,066262325	-0,849271606	-0,64315304	-0,577027156	-1,102066688	-0,918331821	0
Ale001	1	Bockemossen	58	3	9,4	1	2	2	0	0	0	NA	1	NA	0	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	-1,956993586	-1,376769499	-1,489407041	-0,577027156	-0,325963387	-0,918331821	0,704225352
Ale001	1	Bockemossen	59	1	17	1	2	2	0	0	0	NA	1	NA	0	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	-0,638685551	-1,376769499	-1,489407041	-0,577027156	-0,325963387	-0,918331821	0,704225352
Ale001	1	Bockemossen	60	2	21	3	2,666666667	4	2	3	0	NA	0	NA	1	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	0,055160784	-0,321773714	0,20310096	-0,045204892	-1,102066688	1,078041703	0
Ale001	1	Bockemossen	61	3	14,5	5	3	5	1	2	0	NA	3	NA	1	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	-1,07233951	0,73322207	1,049354961	-0,311116024	1,226243217	1,078041703	2,112676056
Ale001	1	Bockemossen	62	2	19,5	2	1,5	2	0	0	0	NA	2	NA	0	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	-0,205031592	-0,849271606	-1,489407041	-0,577027156	0,450139915	-0,918331821	1,408450704
Ale001	1	Bockemossen	63	3	27,1	5	2,4	4	0	3	0	NA	2	NA	0	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	1,113276443	0,73322207	0,20310096	-0,577027156	0,450139915	-0,918331821	1,408450704
Ale001	1	Bockemossen	64	3	27,1	8	4	5	16	5	2	NA	1	NA	1	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	1,113276443	2,315715747	1,049354961	3,677550953	-0,325963387	1,078041703	0,704225352
Ale001	1	Bockemossen	65	2	16,3	2	2	2	0	1	0	NA	1	NA	0	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	-0,760108659	-0,849271606	-1,489407041	-0,577027156	-0,325963387	-0,918331821	0,704225352
Ale001	1	Bockemossen	66	5	15,3	1	3	3	0	0	0	NA	1	NA	0	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	-0,933570243	-1,376769499	-0,64315304	-0,577027156	-0,325963387	-0,918331821	0,704225352
Ale001	1	Bockemossen	67	2	16,8	3	3,666666667	5	0	2	0	0	1	480	0	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	-0,673377867	-0,321773714	1,049354961	-0,577027156	-0,325963387	-0,918331821	0,704225352
Ale001	1	Bockemossen	68	17	15,7	3	2,333333333	3	0	0	0	NA	0	NA	0	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	-0,864185609	-0,321773714	-0,64315304	-0,577027156	-1,102066688	-0,918331821	0
Ale001	1	Bockemossen	69	1	21,2	2	2	3	0	0	1	NA	1	NA	0	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	0,0898531	-0,849271606	-0,64315304	-0,577027156	-0,325963387	-0,918331821	0,704225352
Ale001	1	Bockemossen	70	2	22,2	3	2,333333333	3	0	2	0	NA	1	NA	0	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	0,263314684	-0,321773714	-0,64315304	-0,577027156	-0,325963387	-0,918331821	0,704225352
Ale001	1	Bockemossen	71	2	17,7	3	1,666666667	3	0	3	0	NA	0	NA	0	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	-0,517262442	-0,321773714	-0,64315304	-0,577027156	-1,102066688	-0,918331821	0
Ale001	1	Bockemossen	72	3	16,2	1	4	4	3	1	0	NA	0	NA	1	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	-0,777454817	-1,376769499	0,20310096	0,220706239	-1,102066688	1,078041703	0
Ale001	1	Bockemossen	73	4	26,3	7	4,285714286	5	2	2	0	NA	5	NA	1	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	0,974507176	1,788217854	1,049354961	-0,045204892	2,77844982	1,078041703	3,521126761
Ale001	1	Bockemossen	74	4	24,1	4	3,25	5	0	4	0	NA	0	NA	0	20,682	3,61	3,76	2,17	1,42	0,46	5,764965242	1,895742172	1,181678313	3,760654897	1,288488269	0,500908266	0,592891693	0,205724178	1,049354961	-0,577027156	-1,102066688	-0,918331821	0
