LokalID	predator	Lokal	Individ	n_shoots	h_shoot	n_fl	phen_index	most_adv	n_eggs	n_pred_all	n_aborted_all	perc_undeveloped	n_intact_fruits	n_seeds	attack	h_shoot_mean	n_fl_mean	most_adv_mean	n_eggs_mean	n_intact_fruits_mean	attack_mean	h_shoot_sd	n_fl_sd	most_adv_sd	n_eggs_sd	n_intact_fruits_sd	attack_sd	h_shoot_sta	n_fl_sta	most_adv_sta	n_eggs_sta	n_intact_fruits_sta	attack_sta	n_intact_fruits_rel
Ale001	1	Bockemossen	30	2	15,7	2	3,5	4	2	3	0	NA	0	NA	1	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	-0,692917105	-0,59675478	0,756810086	1,206506798	-0,85148985	2,054391958	0
Ale001	1	Bockemossen	31	3	23,2	4	3	4	0	2	0	99	1	40	0	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	0,600160349	0,672936242	0,756810086	-0,412965414	0,035478744	-0,48189441	1,041666667
Ale001	1	Bockemossen	32	3	24,1	3	3,333333333	4	0	1	0	100	2	1170	0	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	0,755329643	0,038090731	0,756810086	-0,412965414	0,922447338	-0,48189441	2,083333333
Ale001	1	Bockemossen	33	3	24	3	2,666666667	4	0	1	0	0	2	900	0	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	0,738088611	0,038090731	0,756810086	-0,412965414	0,922447338	-0,48189441	2,083333333
Ale001	1	Bockemossen	34	2	16	1	3	3	0	1	0	100	0	0	0	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	-0,641194007	-1,231600291	-0,213459255	-0,412965414	-0,85148985	-0,48189441	0
Ale001	1	Bockemossen	35	9	19,5	3	1,666666667	3	0	0	0	NA	3	390	0	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	-0,037757862	0,038090731	-0,213459255	-0,412965414	1,809415932	-0,48189441	3,125
Ale001	1	Bockemossen	36	3	22,2	1	3	3	0	1	0	0	0	0	0	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	0,427750022	-1,231600291	-0,213459255	-0,412965414	-0,85148985	-0,48189441	0
Ale001	1	Bockemossen	37	3	14,1	1	3	3	0	1	0	NA	0	NA	0	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	-0,968773628	-1,231600291	-0,213459255	-0,412965414	-0,85148985	-0,48189441	0
Ale001	1	Bockemossen	38	1	13,4	1	2	2	0	0	0	NA	1	90	0	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	-1,089460857	-1,231600291	-1,183728596	-0,412965414	0,035478744	-0,48189441	1,041666667
Ale001	1	Bockemossen	39	1	22,5	5	3,2	5	0	4	0	NA	0	NA	0	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	0,47947312	1,307781752	1,727079427	-0,412965414	-0,85148985	-0,48189441	0
Ale001	1	Bockemossen	40	2	15,9	1	3	3	0	1	0	100	0	0	0	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	-0,65843504	-1,231600291	-0,213459255	-0,412965414	-0,85148985	-0,48189441	0
Ale001	1	Bockemossen	41	2	21,6	4	2,25	3	0	3	0	NA	2	740	0	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	0,324303825	0,672936242	-0,213459255	-0,412965414	0,922447338	-0,48189441	2,083333333
Ale001	1	Bockemossen	42	2	13,6	2	2,5	4	0	2	0	100	0	0	0	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	-1,054978792	-0,59675478	0,756810086	-0,412965414	-0,85148985	-0,48189441	0
Ale001	1	Bockemossen	43	2	14	1	1	1	0	0	0	NA	1	420	0	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	-0,986014661	-1,231600291	-2,153997937	-0,412965414	0,035478744	-0,48189441	1,041666667
Ale001	1	Bockemossen	44	5	13,9	2	2	3	0	1	0	NA	1	NA	0	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	-1,003255694	-0,59675478	-0,213459255	-0,412965414	0,035478744	-0,48189441	1,041666667
Ale001	1	Bockemossen	45	4	17,8	2	3	4	0	2	0	NA	0	NA	0	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	-0,330855418	-0,59675478	0,756810086	-0,412965414	-0,85148985	-0,48189441	0
Ale001	1	Bockemossen	46	3	17,8	2	2	3	0	2	0	50	0	0	0	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	-0,330855418	-0,59675478	-0,213459255	-0,412965414	-0,85148985	-0,48189441	0
Ale001	1	Bockemossen	47	3	13,1	1	1	1	0	0	0	NA	1	0	0	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	-1,141183956	-1,231600291	-2,153997937	-0,412965414	0,035478744	-0,48189441	1,041666667
