predator	LokalID	Lokal	Individ	n_shoots	h_shoot	n_fl	phen_index	most_adv	n_eggs	n_pred_all	n_aborted_all	perc_undeveloped	n_intact_fruits	n_seeds	attack	year	ants_10	ants_11	pred	ants_mean	ants_max	logants	area	Mean(n_shoots)	Mean(h_shoot)	Mean(n_fl)	Mean(phen_index)	Mean(most_adv)	Mean(n_eggs)	Std Dev(n_shoots)	Std Dev(h_shoot)	Std Dev(n_fl)	Std Dev(phen_index)	Std Dev(most_adv)	Std Dev(n_eggs)	Mean(n_intact_fruits)	n_shoots_sta	h_shoot_sta	n_fl_sta	phen_index_sta	most_adv_sta	n_eggs_sta	n_intact_fruits_rel
1	Ale001	Bockemossen	51	2	20	4	3	4	5	3	0	NA	1	320	1	2010	0,45	1,625	1	1,0375	1,625	0,48550782	10,16217	3,21	19,719	2,94	2,44117857	3,22	0,51	3,21076158	5,8001166	1,57518638	0,81132702	1,03064166	1,23497025	0,96	-0,3768576	0,0484473	0,67293624	0,68877458	0,75681009	3,63571512	1,04166667
1	Ale001	Bockemossen	52	2	14	1	3	3	0	1	0	NA	0	NA	0	2010	0,45	1,625	1	1,0375	1,625	0,48550782	10,16217	3,21	19,719	2,94	2,44117857	3,22	0,51	3,21076158	5,8001166	1,57518638	0,81132702	1,03064166	1,23497025	0,96	-0,3768576	-0,9860147	-1,2316003	0,68877458	-0,2134593	-0,4129654	0
1	Ale001	Bockemossen	53	2	23,6	4	2,75	4	0	3	0	NA	0	NA	0	2010	0,45	1,625	1	1,0375	1,625	0,48550782	10,16217	3,21	19,719	2,94	2,44117857	3,22	0,51	3,21076158	5,8001166	1,57518638	0,81132702	1,03064166	1,23497025	0,96	-0,3768576	0,66912448	0,67293624	0,38063742	0,75681009	-0,4129654	0
1	Ale001	Bockemossen	54	4	29,5	4	3,25	4	0	3	0	NA	1	830	0	2010	0,45	1,625	1	1,0375	1,625	0,48550782	10,16217	3,21	19,719	2,94	2,44117857	3,22	0,51	3,21076158	5,8001166	1,57518638	0,81132702	1,03064166	1,23497025	0,96	0,24604754	1,68634541	0,67293624	0,99691173	0,75681009	-0,4129654	1,04166667
1	Ale001	Bockemossen	55	1	16,2	1	3	3	0	1	0	NA	0	NA	0	2010	0,45	1,625	1	1,0375	1,625	0,48550782	10,16217	3,21	19,719	2,94	2,44117857	3,22	0,51	3,21076158	5,8001166	1,57518638	0,81132702	1,03064166	1,23497025	0,96	-0,6883102	-0,6067119	-1,2316003	0,68877458	-0,2134593	-0,4129654	0
1	Ale001	Bockemossen	56	6	28,2	5	3,2	4	1	3	0	NA	2	1040	1	2010	0,45	1,625	1	1,0375	1,625	0,48550782	10,16217	3,21	19,719	2,94	2,44117857	3,22	0,51	3,21076158	5,8001166	1,57518638	0,81132702	1,03064166	1,23497025	0,96	0,86895272	1,46221198	1,30778175	0,9352843	0,75681009	0,39677069	2,08333333
1	Ale001	Bockemossen	57	2	26,2	8	1,625	3	1	3	0	NA	3	1230	1	2010	0,45	1,625	1	1,0375	1,625	0,48550782	10,16217	3,21	19,719	2,94	2,44117857	3,22	0,51	3,21076158	5,8001166	1,57518638	0,81132702	1,03064166	1,23497025	0,96	-0,3768576	1,11739133	3,21231828	-1,0059798	-0,2134593	0,39677069	3,125
1	Ale001	Bockemossen	58	2	22,4	4	2,75	4	0	2	0	NA	2	520	0	2010	0,45	1,625	1	1,0375	1,625	0,48550782	10,16217	3,21	19,719	2,94	2,44117857	3,22	0,51	3,21076158	5,8001166	1,57518638	0,81132702	1,03064166	1,23497025	0,96	-0,3768576	0,46223209	0,67293624	0,38063742	0,75681009	-0,4129654	2,08333333
1	Ale001	Bockemossen	59	3	21,5	3	1,33333333	2	0	0	0	NA	2	560	0	2010	0,45	1,625	1	1,0375	1,625	0,48550782	10,16217	3,21	19,719	2,94	2,44117857	3,22	0,51	3,21076158	5,8001166	1,57518638	0,81132702	1,03064166	1,23497025	0,96	-0,065405	0,30706279	0,03809073	-1,3654731	-1,1837286	-0,4129654	2,08333333
1	Ale001	Bockemossen	60	3	24,2	2	2,5	3	0	1	0	NA	1	340	0	2010	0,45	1,625	1	1,0375	1,625	0,48550782	10,16217	3,21	19,719	2,94	2,44117857	3,22	0,51	3,21076158	5,8001166	1,57518638	0,81132702	1,03064166	1,23497025	0,96	-0,065405	0,77257068	-0,5967548	0,07250027	-0,2134593	-0,4129654	1,04166667
1	Ale001	Bockemossen	61	2	28,2	5	3,2	4	4	5	0	NA	0	NA	1	2010	0,45	1,625	1	1,0375	1,625	0,48550782	10,16217	3,21	19,719	2,94	2,44117857	3,22	0,51	3,21076158	5,8001166	1,57518638	0,81132702	1,03064166	1,23497025	0,96	-0,3768576	1,46221198	1,30778175	0,9352843	0,75681009	2,82597901	0
1	Ale001	Bockemossen	62	4	20,3	2	4	5	2	0	0	NA	3	1425	1	2010	0,45	1,625	1	1,0375	1,625	0,48550782	10,16217	3,21	19,719	2,94	2,44117857	3,22	0,51	3,21076158	5,8001166	1,57518638	0,81132702	1,03064166	1,23497025	0,96	0,24604754	0,1001704	-0,5967548	1,9213232	1,72707943	1,2065068	3,125
1	Ale001	Bockemossen	63	2	33,4	4	2,25	4	0	2	0	NA	2	680	0	2010	0,45	1,625	1	1,0375	1,625	0,48550782	10,16217	3,21	19,719	2,94	2,44117857	3,22	0,51	3,21076158	5,8001166	1,57518638	0,81132702	1,03064166	1,23497025	0,96	-0,3768576	2,35874569	0,67293624	-0,2356369	0,75681009	-0,4129654	2,08333333
