LokalID	date	date_julian	most_adv	phen_corr	year
Göt009a	31/07/2010	212	4	0,018867925	2010
Göt009a	31/07/2010	212	1	0,004716981	2010
Göt009a	31/07/2010	212	2	0,009433962	2010
Göt009a	31/07/2010	212	3	0,014150943	2010
Göt009a	31/07/2010	212	1	0,004716981	2010
Göt009a	31/07/2010	212	5	0,023584906	2010
Göt009a	31/07/2010	212	2	0,009433962	2010
Göt009a	31/07/2010	212	2	0,009433962	2010
Göt009a	31/07/2010	212	2	0,009433962	2010
Göt009a	31/07/2010	212	3	0,014150943	2010
Göt009a	31/07/2010	212	2	0,009433962	2010
Göt009a	31/07/2010	212	4	0,018867925	2010
Göt009a	31/07/2010	212	3	0,014150943	2010
Göt009a	31/07/2010	212	3	0,014150943	2010
Göt009a	31/07/2010	212	4	0,018867925	2010
Göt009a	31/07/2010	212	5	0,023584906	2010
Göt009a	31/07/2010	212	4	0,018867925	2010
Göt009a	31/07/2010	212	2	0,009433962	2010
Göt009a	31/07/2010	212	3	0,014150943	2010
Göt009a	31/07/2010	212	1	0,004716981	2010
Göt009a	31/07/2010	212	4	0,018867925	2010
Göt009a	31/07/2010	212	1	0,004716981	2010
Göt009a	31/07/2010	212	4	0,018867925	2010
Göt009a	31/07/2010	212	2	0,009433962	2010
Göt009a	31/07/2010	212	3	0,014150943	2010
Göt009a	31/07/2010	212	3	0,014150943	2010
Göt009a	31/07/2010	212	2	0,009433962	2010
Göt009a	31/07/2010	212	5	0,023584906	2010
Göt009a	31/07/2010	212	4	0,018867925	2010
Göt009a	31/07/2010	212	3	0,014150943	2010
Göt009a	31/07/2010	212	2	0,009433962	2010
Göt009a	31/07/2010	212	4	0,018867925	2010
Göt009a	31/07/2010	212	2	0,009433962	2010
Göt009a	31/07/2010	212	4	0,018867925	2010
Göt009a	31/07/2010	212	4	0,018867925	2010
Göt009a	31/07/2010	212	4	0,018867925	2010
Göt009a	31/07/2010	212	4	0,018867925	2010
Göt009a	31/07/2010	212	4	0,018867925	2010
Göt009a	31/07/2010	212	2	0,009433962	2010
Göt009a	31/07/2010	212	2	0,009433962	2010
Göt009a	31/07/2010	212	2	0,009433962	2010
Göt009a	31/07/2010	212	2	0,009433962	2010
Göt009a	31/07/2010	212	3	0,014150943	2010
Göt009a	31/07/2010	212	2	0,009433962	2010
Göt009a	31/07/2010	212	3	0,014150943	2010
Göt009a	31/07/2010	212	1	0,004716981	2010
Göt009a	31/07/2010	212	2	0,009433962	2010
Göt009a	31/07/2010	212	3	0,014150943	2010
Göt009a	31/07/2010	212	2	0,009433962	2010
Göt009a	31/07/2010	212	2	0,009433962	2010
Göt009a	31/07/2010	212	2	0,009433962	2010
Göt009a	31/07/2010	212	1	0,004716981	2010
Göt009a	31/07/2010	212	4	0,018867925	2010
Göt009a	31/07/2010	212	3	0,014150943	2010
Göt009a	31/07/2010	212	4	0,018867925	2010
Göt009a	31/07/2010	212	2	0,009433962	2010
Göt009a	31/07/2010	212	2	0,009433962	2010
Göt009a	31/07/2010	212	3	0,014150943	2010
Göt009a	31/07/2010	212	4	0,018867925	2010
Göt009a	31/07/2010	212	2	0,009433962	2010
Göt009a	31/07/2010	212	4	0,018867925	2010
Göt009a	31/07/2010	212	4	0,018867925	2010
Göt009a	31/07/2010	212	3	0,014150943	2010
Göt009a	31/07/2010	212	5	0,023584906	2010
Göt009b	31/07/2010	212	4	0,018867925	2010
Göt009b	31/07/2010	212	3	0,014150943	2010
Göt009b	31/07/2010	212	4	0,018867925	2010
Göt009b	31/07/2010	212	2	0,009433962	2010
Göt009b	31/07/2010	212	3	0,014150943	2010
Göt009b	31/07/2010	212	2	0,009433962	2010
Göt009b	31/07/2010	212	3	0,014150943	2010
Göt009b	31/07/2010	212	2	0,009433962	2010
Göt009b	31/07/2010	212	3	0,014150943	2010
Göt009b	31/07/2010	212	3	0,014150943	2010
Göt009b	31/07/2010	212	2	0,009433962	2010
Göt009b	31/07/2010	212	2	0,009433962	2010
Göt009b	31/07/2010	212	2	0,009433962	2010
Göt009b	31/07/2010	212	2	0,009433962	2010
Göt009b	31/07/2010	212	2	0,009433962	2010
Göt009b	31/07/2010	212	3	0,014150943	2010
Göt009b	31/07/2010	212	2	0,009433962	2010
Göt009b	31/07/2010	212	2	0,009433962	2010
Göt009b	31/07/2010	212	4	0,018867925	2010
Göt009b	31/07/2010	212	2	0,009433962	2010
Göt009b	31/07/2010	212	3	0,014150943	2010
Göt009b	31/07/2010	212	2	0,009433962	2010
Göt009b	31/07/2010	212	2	0,009433962	2010
Göt009b	31/07/2010	212	2	0,009433962	2010
Göt009b	31/07/2010	212	2	0,009433962	2010
Göt009b	31/07/2010	212	2	0,009433962	2010
Göt009b	31/07/2010	212	1	0,004716981	2010
Göt009b	31/07/2010	212	2	0,009433962	2010
Göt009b	31/07/2010	212	1	0,004716981	2010
Göt009b	31/07/2010	212	4	0,018867925	2010
Göt009b	31/07/2010	212	3	0,014150943	2010
Göt009b	31/07/2010	212	5	0,023584906	2010
Göt009b	31/07/2010	212	4	0,018867925	2010
Göt009b	31/07/2010	212	2	0,009433962	2010
Göt009b	31/07/2010	212	2	0,009433962	2010
Göt009b	31/07/2010	212	3	0,014150943	2010
Göt009b	31/07/2010	212	4	0,018867925	2010
Göt009b	31/07/2010	212	2	0,009433962	2010
Göt009b	31/07/2010	212	1	0,004716981	2010
Göt009b	31/07/2010	212	3	0,014150943	2010
Göt009b	31/07/2010	212	3	0,014150943	2010
Göt009b	31/07/2010	212	4	0,018867925	2010
Göt009b	31/07/2010	212	4	0,018867925	2010
Göt009b	31/07/2010	212	3	0,014150943	2010
Göt009b	31/07/2010	212	3	0,014150943	2010
Göt009b	31/07/2010	212	4	0,018867925	2010
Göt009b	31/07/2010	212	2	0,009433962	2010
Göt009b	31/07/2010	212	2	0,009433962	2010
Göt009b	31/07/2010	212	4	0,018867925	2010
Göt009b	31/07/2010	212	3	0,014150943	2010
Göt009b	31/07/2010	212	2	0,009433962	2010
Göt009b	31/07/2010	212	3	0,014150943	2010
Göt009b	31/07/2010	212	1	0,004716981	2010
Göt009b	31/07/2010	212	4	0,018867925	2010
Göt009b	31/07/2010	212	2	0,009433962	2010
Göt009b	31/07/2010	212	2	0,009433962	2010
Göt009b	31/07/2010	212	3	0,014150943	2010
Göt009b	31/07/2010	212	2	0,009433962	2010
Göt009b	31/07/2010	212	2	0,009433962	2010
Göt009b	31/07/2010	212	3	0,014150943	2010
Göt009b	31/07/2010	212	4	0,018867925	2010
Göt009b	31/07/2010	212	5	0,023584906	2010
Göt009b	31/07/2010	212	3	0,014150943	2010
Göt009b	31/07/2010	212	2	0,009433962	2010
Göt009b	31/07/2010	212	2	0,009433962	2010
Göt009b	31/07/2010	212	2	0,009433962	2010
Göt009b	31/07/2010	212	2	0,009433962	2010
Göt009b	31/07/2010	212	2	0,009433962	2010
Göt009b	31/07/2010	212	1	0,004716981	2010
Göt009b	31/07/2010	212	3	0,014150943	2010
Göt009b	31/07/2010	212	4	0,018867925	2010
Göt009b	31/07/2010	212	1	0,004716981	2010
Göt009b	31/07/2010	212	4	0,018867925	2010
Göt009b	31/07/2010	212	2	0,009433962	2010
Göt009b	31/07/2010	212	3	0,014150943	2010
Göt009b	31/07/2010	212	3	0,014150943	2010
Göt009b	31/07/2010	212	3	0,014150943	2010
Göt009b	31/07/2010	212	3	0,014150943	2010
Göt009b	31/07/2010	212	2	0,009433962	2010
Göt009b	31/07/2010	212	1	0,004716981	2010
Göt009b	31/07/2010	212	1	0,004716981	2010
Göt009b	31/07/2010	212	2	0,009433962	2010
Göt009b	31/07/2010	212	1	0,004716981	2010
Göt009b	31/07/2010	212	2	0,009433962	2010
Göt009b	31/07/2010	212	2	0,009433962	2010
Göt009b	31/07/2010	212	2	0,009433962	2010
Göt009b	31/07/2010	212	3	0,014150943	2010
Göt009b	31/07/2010	212	4	0,018867925	2010
Göt009b	31/07/2010	212	2	0,009433962	2010
Göt009b	31/07/2010	212	2	0,009433962	2010
Göt009b	31/07/2010	212	2	0,009433962	2010
Göt009b	31/07/2010	212	3	0,014150943	2010
Göt009b	31/07/2010	212	2	0,009433962	2010
Göt009b	31/07/2010	212	2	0,009433962	2010
Göt009b	31/07/2010	212	1	0,004716981	2010
Göt009b	31/07/2010	212	2	0,009433962	2010
Göt009b	31/07/2010	212	1	0,004716981	2010
Göt009b	31/07/2010	212	2	0,009433962	2010
Göt009b	31/07/2010	212	4	0,018867925	2010
Göt009b	31/07/2010	212	2	0,009433962	2010
Göt016	02/08/2010	214	3	0,014018692	2010
Göt016	02/08/2010	214	2	0,009345794	2010
Göt016	02/08/2010	214	3	0,014018692	2010
Göt016	02/08/2010	214	1	0,004672897	2010
Göt016	02/08/2010	214	1	0,004672897	2010
Göt016	02/08/2010	214	3	0,014018692	2010
Göt016	02/08/2010	214	2	0,009345794	2010
