predator	LokalID	Individ	most_adv	year	Datum
1	Göt009a	83	2	2010	31/07/2010
1	Göt009a	84	3	2010	31/07/2010
1	Göt009a	85	2	2010	31/07/2010
1	Göt009a	86	2	2010	31/07/2010
1	Göt009a	87	2	2010	31/07/2010
1	Göt009a	88	1	2010	31/07/2010
1	Göt009a	89	4	2010	31/07/2010
1	Göt009a	90	3	2010	31/07/2010
1	Göt009a	91	4	2010	31/07/2010
1	Göt009a	92	2	2010	31/07/2010
1	Göt009a	93	2	2010	31/07/2010
1	Göt009a	94	3	2010	31/07/2010
1	Göt009a	95	4	2010	31/07/2010
1	Göt009a	96	2	2010	31/07/2010
1	Göt009a	97	4	2010	31/07/2010
1	Göt009a	98	4	2010	31/07/2010
1	Göt009a	99	3	2010	31/07/2010
1	Göt009a	100	5	2010	31/07/2010
1	Göt009b	1	4	2010	31/07/2010
1	Göt009b	2	3	2010	31/07/2010
1	Göt009b	3	4	2010	31/07/2010
1	Göt009b	4	2	2010	31/07/2010
1	Göt009b	5	3	2010	31/07/2010
1	Göt009b	6	2	2010	31/07/2010
1	Göt009b	7	3	2010	31/07/2010
1	Göt009b	8	2	2010	31/07/2010
1	Göt009b	9	3	2010	31/07/2010
1	Göt009b	10	3	2010	31/07/2010
1	Göt009b	11	2	2010	31/07/2010
1	Göt009b	12	2	2010	31/07/2010
1	Göt009b	13	2	2010	31/07/2010
1	Göt009b	14	2	2010	31/07/2010
1	Göt009b	15	2	2010	31/07/2010
1	Göt009b	16	3	2010	31/07/2010
1	Göt009b	17	2	2010	31/07/2010
1	Göt009b	18	2	2010	31/07/2010
1	Göt009b	19	4	2010	31/07/2010
1	Göt009b	20	2	2010	31/07/2010
1	Göt009b	21	3	2010	31/07/2010
1	Göt009b	22	2	2010	31/07/2010
1	Göt009b	23	2	2010	31/07/2010
1	Göt009b	24	2	2010	31/07/2010
1	Göt009b	25	2	2010	31/07/2010
1	Göt009b	26	2	2010	31/07/2010
1	Göt009b	27	1	2010	31/07/2010
1	Göt009b	28	2	2010	31/07/2010
1	Göt009b	29	1	2010	31/07/2010
1	Göt009b	30	4	2010	31/07/2010
1	Göt009b	31	3	2010	31/07/2010
1	Göt009b	32	5	2010	31/07/2010
1	Göt009b	33	4	2010	31/07/2010
1	Göt009b	34	2	2010	31/07/2010
1	Göt009b	35	2	2010	31/07/2010
1	Göt009b	36	3	2010	31/07/2010
1	Göt009b	37	4	2010	31/07/2010
1	Göt009b	38	2	2010	31/07/2010
1	Göt009b	39	1	2010	31/07/2010
1	Göt009b	40	3	2010	31/07/2010
1	Göt009b	41	3	2010	31/07/2010
1	Göt009b	42	4	2010	31/07/2010
1	Göt009b	43	4	2010	31/07/2010
1	Göt009b	44	3	2010	31/07/2010
1	Göt009b	45	3	2010	31/07/2010
1	Göt009b	46	4	2010	31/07/2010
1	Göt009b	47	2	2010	31/07/2010
1	Göt009b	48	2	2010	31/07/2010
1	Göt009b	49	4	2010	31/07/2010
1	Göt009b	50	3	2010	31/07/2010
1	Göt009b	51	2	2010	31/07/2010
1	Göt009b	52	3	2010	31/07/2010
1	Göt009b	53	1	2010	31/07/2010
1	Göt009b	54	4	2010	31/07/2010
1	Göt009b	55	2	2010	31/07/2010
1	Göt009b	56	2	2010	31/07/2010
1	Göt009b	57	3	2010	31/07/2010
1	Göt009b	58	2	2010	31/07/2010
1	Göt009b	59	2	2010	31/07/2010
1	Göt009b	60	3	2010	31/07/2010
1	Göt009b	61	4	2010	31/07/2010
1	Göt009b	62	5	2010	31/07/2010
1	Göt009b	63	3	2010	31/07/2010
